ville;latitude;longitude
Vic Sous Thil;47.366958331;4.317209988
Vielverge;47.267919458;5.452905452
Villars Fontaine;47.149574973;4.901042971
Villars Et Villenotte;47.508690789;4.378889697
Villecomte;47.499501248;5.018851336
La Villeneuve Les Convers;47.575777126;4.591744222
Villeneuve Sous Charigny;47.436145596;4.399624608
Villey Sur Tille;47.567744921;5.109382796
Villotte St Seine;47.429718234;4.7130539670000005
Viserny;47.562369649;4.284225414
Vosne Romanee;47.159707034;4.955601964
Voulaines Les Templiers;47.830393641;4.7761407
Bony;49.990651457;3.220766101
Arc Sur Tille;47.338758397;5.200858874
Bourg Et Comin;49.402887168;3.659773112
Argilly;47.068592327;5.024747349
Bourguignon Sous Montbavin;49.529088286;3.537037569
Aubigny En Plaine;47.127737411;5.164587968
Brasles;49.057012938;3.42403027
Auxonne;47.188769135;5.414341888
Bray St Christophe;49.774144853;3.141582586
Beaulieu;47.725468508;4.733641886
Brecy;49.140371179;3.423549684
Beaumont Sur Vingeanne;47.462096204;5.347585709
Breny;49.184262001;3.350004368
Beaune;47.025576567;4.837332378
Buire;49.907619378;4.056800114
Beire Le Chatel;47.417985549;5.213578936
Buzancy;49.310243779;3.347968795
Belleneuve;47.357498296;5.274054345
La Capelle;49.973535545;3.913302584
Benoisey;47.576889187;4.394799063
Caulaincourt;49.864831923;3.111035178
Beurizot;47.355565978;4.496175516
Cessieres Suzy;49.558013373;3.48118285
Bevy;47.181886714;4.839545062
Chavigny;49.423064084;3.305405211
Beze;47.466173935;5.279200729
Chermizy Ailles;49.463497769;3.720222977
Billey;47.142403316;5.419333695
Chevregny;49.465725095;3.593387726
Billy Les Chanceaux;47.552807572;4.734849153
Clamecy;49.428547607;3.363807361
Blaisy Bas;47.369429248;4.735378967
Blancey;47.302443521;4.45981531
Source Seine;47.488803885;4.696760719
Bonnencontre;47.086560546;5.142300288
Boussey;47.361381554;4.5415981940000005
Bremur Et Vaurois;47.729556831;4.609263197
Brognon;47.410459987;5.167987771
Buncey;47.817618901;4.5768700110000005
Busseaut;47.738604881;4.652764477
Busserotte Et Montenaille;47.662975953;4.979967455
La Bussiere Sur Ouche;47.226645175;4.699258629
Chaignay;47.47641997;5.059334299
Chamboeuf;47.227547273;4.902611275
Champrenault;47.399897791;4.681078429
Chanceaux;47.525457663;4.740473645
Charny;47.331625283;4.426160609
Charrey Sur Seine;47.952829103;4.53964668
Chateauneuf;47.219410354;4.651494434
Chaume Et Courchamp;47.580389843;5.360944654
Chazeuil;47.558356031;5.285555428
Chevannay;47.390913656;4.653419584
Corberon;47.010419339;5.009086484
